iter	Logloss
0	0.6332010654
1	0.5846237271
2	0.5359054087
3	0.4931897515
4	0.4553095862
5	0.406646843
6	0.3657191824
7	0.3350756386
8	0.3066228788
9	0.2773831283
10	0.2526784437
11	0.2329959666
12	0.213794624
13	0.1956309083
14	0.1752848277
15	0.1613915147
16	0.1475619149
17	0.1351309741
18	0.1235543477
19	0.1151602485
20	0.1062827067
21	0.09803982669
22	0.0905975279
23	0.08329598723
24	0.07645647143
25	0.06983928628
26	0.06462339384
27	0.05900179161
28	0.05476277204
29	0.05072037439
30	0.04709292687
31	0.0436792355
32	0.04090713805
33	0.03775046378
34	0.03496845645
35	0.0327038606
36	0.03027853521
37	0.02851997241
38	0.02657166803
39	0.02496489962
40	0.02357115862
41	0.02221045983
42	0.02084395345
43	0.01957804592
44	0.01836434932
45	0.01691129882
46	0.01585446251
47	0.01502890313
48	0.01421529832
49	0.01346328905
50	0.01272849076
51	0.01202794336
52	0.01148956446
53	0.01083862012
54	0.01031151515
55	0.009783295827
56	0.009222171167
57	0.008767402079
58	0.008365031653
59	0.008012801591
60	0.007608915921
61	0.007323925307
62	0.007127169766
63	0.00684412719
64	0.006490909005
65	0.006109089849
66	0.00587538447
67	0.005665732944
68	0.005389260892
69	0.005177231308
70	0.00498244415
71	0.004810516036
72	0.004619673042
73	0.004414387378
74	0.004234981536
75	0.004111967072
76	0.003996686499
77	0.003866736917
78	0.003749919138
79	0.00365191775
80	0.003559539456
81	0.003490754015
82	0.003406008349
83	0.003316598813
84	0.003218893353
85	0.003121719408
86	0.003037887882
87	0.002950928767
88	0.002877995249
89	0.002801539033
90	0.002751443522
91	0.002671063948
92	0.002608269661
93	0.002546026539
94	0.002482484572
95	0.002437746512
96	0.002369342541
97	0.00233852604
98	0.002286079751
99	0.002238808039
100	0.002196891467
101	0.002148480201
102	0.002124275147
103	0.002084543124
104	0.002048556901
105	0.002012492534
106	0.001965927351
107	0.00193315865
108	0.001893341317
109	0.00185491785
110	0.001819809007
111	0.00178770915
112	0.001754008971
113	0.001725009306
114	0.001697297274
115	0.001671734187
116	0.001651039
117	0.001626049736
118	0.001598401167
119	0.001571718525
120	0.001540513156
121	0.001515253396
122	0.001486905003
123	0.001461353939
124	0.001434082216
125	0.001410055411
126	0.001382415743
127	0.001368510367
128	0.001353479887
129	0.001333133455
130	0.001310656689
131	0.001288637571
132	0.001270250043
133	0.001255760903
134	0.001230940642
135	0.00121336969
136	0.001192803624
137	0.001176573133
138	0.001159453009
139	0.001138600841
140	0.001124636395
141	0.001106763967
142	0.001089087013
143	0.001079398726
144	0.001070027058
145	0.001062109946
146	0.001049172925
147	0.001036292893
148	0.001022658245
149	0.001009103128
150	0.0009934963975
151	0.0009843574265
152	0.0009749216028
153	0.0009610218912
154	0.0009501827218
155	0.0009386876559
156	0.0009277719613
157	0.0009185459459
158	0.0009111770515
159	0.000901395073
160	0.0008907727633
161	0.0008824520445
162	0.0008744714695
163	0.0008662491814
164	0.0008581523738
165	0.0008463700497
166	0.0008364686018
167	0.0008257101768
168	0.0008114940767
169	0.0008057302446
170	0.0007934053667
171	0.0007933876226
172	0.0007859916208
173	0.000777444101
174	0.0007774423093
175	0.0007704967306
176	0.0007704967306
177	0.0007704967306
178	0.0007704967306
179	0.0007639477647
180	0.0007639443546
181	0.0007554213413
182	0.0007443753691
183	0.0007346122907
184	0.0007346015402
185	0.0007257021437
186	0.0007256927803
187	0.0007256927803
188	0.0007156010601
189	0.0007069959731
190	0.0006986658332
191	0.0006986788956
192	0.0006986788956
193	0.0006986576258
194	0.0006913927108
195	0.000682472449
196	0.0006735489505
197	0.0006650516576
198	0.0006650570906
199	0.0006650570906
200	0.0006650570906
201	0.0006562946185
202	0.0006562821341
203	0.0006562610954
204	0.0006562610954
